farm code,region code,sub region code,holding type code,LATITUDE_coded,LONGITUDE_code,HOLDER LEGAL STATUS CODE,profession code,educational level code,tenure code,soil salinity group code,soil type code,Permanent Employees,Temporary Employees,Holding Area_coded,resting areas_coded,buildings_coded,Wind bumpers_coded,Fruit tree crops_coded,Protected vegetable crops_coded,vegetable crops_coded,Fruit waste %,Plastic houses waste %,Exposed Vegetable  waste %
21013,A,9,A,24.68841167,54.77736333,E,B,A,D,A,B,2,0,27.18846,4.74084,0.98046,1.59354,14.02362,0,1.17,0.038627537,0,0.225395722
21014,A,6,B,24.17915333,55.04968333,E,B,A,D,A,B,1,0,26.92053,0,0.03276,0.0117,4.68,0,0,0.335144101,0,0
21015,A,9,B,24.61647667,54.685535,E,B,G,D,A,B,3,0,32.60907,12.49677,0.3978,2.925,8.5995,0,0,0.223397,0,0
21016,A,6,A,24.16697667,54.98610833,F,B,C,D,B,B,3,0,16.27236,0,0.234,3.51,1.17,0,0,0.172504536,0,0
21017,A,6,B,24.16626167,54.98390167,E,B,B,D,B,B,1,0,16.27236,0,0.117,1.17,5.85,0,0,0.094094293,0,0
21018,C,5,B,23.04805333,53.99509,E,B,C,D,B,B,0,0,13.455,9.91458,0.03042,0,3.51,0,0,0.103187248,0,0
21019,B,31,A,24.073615,55.192845,E,B,A,D,B,B,1,0,17.14986,0,0.12168,0,2.34,0,0,0.122816457,0,0
21020,B,31,B,24.07372667,55.19397167,E,B,A,D,B,B,1,0,22.0311,0,0.1755,0,3.51,0,0,0.173070576,0,0
21021,C,43,B,23.63203833,53.59992667,E,A,D,D,B,B,0,0,21.47184,8.03907,11.7,1.638,0.0936,0,0,0,0,0
21022,C,5,B,23.083975,53.94253,E,B,A,D,B,B,2,0,30.8763,-2.0124,0.0351,0.0936,23.4,0,0,0.298236486,0,0
21023,A,6,B,24.16774333,54.97602667,E,B,G,D,B,B,0,0,16.27236,0,0.234,1.17,3.51,0,0,0.294640497,0,0
21024,A,6,B,24.16714833,54.97673,E,B,E,D,B,B,3,0,16.27236,0,0.117,5.85,0,0,0,0,0,0
21025,C,33,A,23.05145333,53.49622167,E,B,D,D,A,B,1,0,12.50379,0.41184,0.04095,0.351,5.85,0,0,0.199185989,0,0
21026,A,9,B,24.68443167,54.78198333,E,B,A,D,A,B,1,0,27.18846,11.1735,0.62946,1.4625,5.733,0,0,0.247808225,0,0
21027,B,20,B,24.17711214,55.70066024,E,B,I,D,A,B,2,0,58.5,35.1,0.10413,0,3.51,0,0,0.4085353,0,0
21028,B,31,A,24.07024667,55.199525,E,B,D,D,B,B,2,0,39.17394,0,0.78507,0,1.755,0,0,0.243295393,0,0
21029,B,41,B,24.53730333,55.69197833,E,B,G,D,A,B,5,0,122.9787,62.01,0,0,58.5,0,0,0.206120989,0,0
21030,A,9,A,24.68656333,54.78259167,E,B,D,D,A,B,1,0,27.18846,4.797,1.09746,2.925,17.199,0,1.17,0.282418507,0,0.076856276
21031,B,41,B,24.53195333,55.67314,E,B,A,D,A,B,1,0,39.1716,19.89,0.5616,0,17.55,0,0,0.118541575,0,0
21032,B,41,B,24.49758,55.63483,E,B,G,D,A,B,3,0,39.18096,16.38,0.57096,0,11.7,0,4.68,0.042285057,0,0.365608744
21033,C,38,B,23.22142833,53.75673167,E,B,A,D,A,B,1,0,46.8,9.243,0.117,0,30.42,0,0,0.207153522,0,0
21034,B,7,B,24.14077667,55.13530833,E,B,D,D,B,A,1,0,26.95563,0,0.05616,0,8.424,0,0,0.099750759,0,0
21035,A,6,A,24.17001167,54.99944833,E,B,A,D,B,B,0,0,22.66524,7.02,3.627,0.351,8.775,0,0,0.446938902,0,0
21036,A,6,A,24.171225,54.99870667,E,B,D,D,B,B,2,0,22.66524,0,1.287,4.095,8.775,0,0,0.231261091,0,0
21037,A,6,A,24.17234,54.99941,E,B,D,D,B,B,2,0,22.81734,1.17,2.457,2.34,8.775,0,0,0.22793102,0,0
21038,A,6,B,24.1727,54.99942667,E,B,G,D,B,B,2,0,22.80096,3.51,0.117,0,11.7,0,0,0.274483116,0,0
21039,A,6,A,24.17374333,54.99954667,E,B,A,D,B,B,3,0,22.80096,4.68,1.287,0,8.775,0,0,0.175020499,0,0
21040,A,6,A,24.17468333,54.99997167,E,B,B,D,B,B,2,0,22.80096,3.51,1.404,0,14.625,0,0,0.398146236,0,0
21041,A,6,A,24.176885,54.99959167,E,B,E,D,B,B,2,0,22.90977,10.53,1.287,0.351,5.85,0,0,0.102663484,0,0
21042,A,6,A,24.17803,54.99935667,E,B,G,D,B,B,3,0,22.92966,-0.00234,1.287,0,14.625,0,0,0,0,0
21043,A,6,B,24.17911333,54.999595,E,B,G,D,B,B,0,0,22.98582,0,1.287,0.351,15.21,0,0,0.2160924,0,0
21044,A,6,B,24.17937167,54.99970667,E,B,D,D,B,B,0,0,23.05251,3.51,1.287,1.17,8.775,0,0,0.335566921,0,0
21045,A,6,B,24.18130333,54.99975667,E,B,G,D,B,B,2,0,22.95774,0,0.117,3.51,11.7,0,0,0.24316471,0,0
21046,A,6,B,24.18332509,55.00049969,E,B,G,D,B,B,0,0,27.70677,9.36,0.117,0.702,11.7,0,0,0.31499083,0,0
21047,A,6,B,24.18317167,55.00030667,E,B,G,D,B,B,0,0,27.69858,7.02,0.117,1.755,11.7,0,0,0.018811265,0,0
21048,A,9,B,24.67943167,54.78256833,E,B,G,D,A,B,0,1,27.18846,14.859,0.62946,3.51,3.51,0,0,0.072038661,0,0
21049,A,9,B,24.68121667,54.78770333,E,B,A,D,A,B,0,0,27.18846,20.57562,0.62946,2.48625,3.49713,0,0,0.219768272,0,0
21050,C,45,A,23.07334667,53.75654,E,B,C,D,B,B,1,0,22.464,10.6236,0.1989,1.4625,10.179,0,0,0.349803473,0,0
21051,C,45,A,23.0756,53.75914833,E,B,A,D,B,B,4,0,47.2095,2.54358,1.96092,0,41.535,0,0,0.19774163,0,0
21052,C,33,A,23.05099833,53.49340833,E,B,A,D,A,B,4,0,46.80702,0,0.39663,0,40.56039,0,0,0.245941458,0,0
21053,C,33,B,23.046325,53.491995,E,B,B,D,B,B,1,0,32.643,18.00045,0.27495,0.3276,14.04,0,0,0.267055901,0,0
